location,n_peak,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Botswana,2.0,12.7861111168293,3.0,1.0,17.0,4.0,6.0,59.99,77.0,1461583.0,1323270.0,0.17,20029.666666666668,0.3841666666666667,2.866666666666667,13.89,4044.0,25.8,3941.0,2242.0,15807374.0,1.8,237372.0,4.81,5.7,34.4,83441.0,69.59,735.0
Brazil,1.0,2.08465401789441,1.0,12.0,4.0,2.0,2.0,70.11,-30.0,0.0,0.0,1.07,32110.0,313.36043333333333,5.6000000000000005,72.69,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,74221.33333333333,75.88,765.0
Brazil,2.0,3.47429050497232,12.0,17.0,7.0,2.0,3.0,68.11,-40.0,12314847.0,4252255.0,1.06,118714.0,205.26489999999998,2.6,70.83,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,68103.0,75.88,765.0
Brazil,3.0,8.16856844647528,30.0,5.0,13.0,3.0,5.0,59.28,0.0,169844640.0,149779557.0,1.29,1185352.3333333333,94.8574,3.9333333333333336,61.57,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,62286.333333333336,75.88,765.0
Bulgaria,1.0,4.75146489350416,23.0,23.0,8.0,2.0,3.0,56.81,-19.0,0.0,0.0,1.12,6450.0,0.3809,2.6,48.15,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,88261.66666666667,75.05,816.0
Bulgaria,2.0,5.15236067281402,31.0,4.0,9.0,3.0,4.0,57.11,-27.0,321332.0,79977.0,1.13,25646.333333333332,232.0,4.3,61.11,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,88261.66666666667,75.05,816.0
Bulgaria,3.0,6.49856772754649,6.0,2.0,11.0,3.0,4.0,47.06,-8.0,1662785.0,1491628.0,1.17,27935.0,0.1373,7.3,50.0,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,88261.66666666667,75.05,816.0
Bulgaria,4.0,12.281637816008,3.0,1.0,17.0,4.0,6.0,46.8,-17.0,2205988.0,1980511.0,1.17,34195.333333333336,0.2887,3.5,50.0,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,85628.66666666667,75.05,816.0
Burkina Faso,1.0,0.0740209459265593,8.0,32.0,1.0,1.0,1.0,33.52,13.0,0.0,0.0,1.33,11847.0,85.3848,9.966666666666667,13.89,70151.0,17.6,2409.0,1358.0,1703102.0,43.7,269048.0,2.42,1.6,23.9,11877.0,61.58,452.0
Burkina Faso,2.0,0.0776314673205033,8.0,32.0,1.0,1.0,1.0,14.16,39.0,1185689.0,736162.0,0.39,11701.0,0.34,3.3333333333333335,13.89,70151.0,17.6,2409.0,1358.0,1703102.0,43.7,269048.0,2.42,1.6,23.9,11877.0,61.58,452.0
Cambodia,1.0,0.381139096707648,29.0,13.0,2.0,1.0,1.0,79.8,-34.0,2688014.0,2094573.0,1.09,5785.0,0.1043,9.6,66.2,90672.0,25.6,4412.0,2385.0,3645.07,13.5,270892.0,4.0,2.0,33.7,66229.0,69.82,594.0
Cambodia,2.0,0.406051011062083,29.0,13.0,2.0,1.0,1.0,77.04,-35.0,12702596.0,10624382.0,1.02,38606.333333333336,0.1887,5.3,69.44,90672.0,25.6,4412.0,2385.0,3645.07,9.299999999999999,270892.0,4.0,2.0,33.7,66229.0,69.82,594.0
Cambodia,3.0,0.269105087383657,8.0,13.0,1.0,1.0,1.0,62.43,-16.0,14437616.0,13571359.0,1.37,2334.0,0.1761,5.7,29.63,90672.0,25.6,4412.0,2385.0,3645.07,9.299999999999999,270892.0,4.0,2.0,33.7,66229.0,69.82,594.0
